Name,Email
"Nathan Hilliard",nhilliar@stetson.edu
"Rob Halford",rhalford@stetson.edu
"Glenn Tipton",gtipton@stetson.edu
,
"John Salis",jsalis@stetson.edu
"Hattie Stevens",hstevens@stetson.edu
"Lisa Albert",lalbert@stetson.edu
"Rose Villalobos",rvillalobos@stetson.edu
"Kristine Andrews",kandrews@stetson.edu
"John Ward",jward@stetson.edu
"Rachel Larkin",rlarkin@stetson.edu
"Jo Kane",jkane@stetson.edu
"Norma Riddick",nriddick@stetson.edu
"Clarence Barnett",cbarnett@stetson.edu
"Justin Isaac",jisaac@stetson.edu
"Jonathan Chenoweth",jchenoweth@stetson.edu
"David Leek",dleek@stetson.edu
"Carol Foss",cfoss@stetson.edu
"Danae Flynn",dflynn@stetson.edu
"Gregory Lynch",glynch@stetson.edu
"Jonathan Howard",jhoward@stetson.edu
"Jessica Peterson",jpeterson@stetson.edu
"Kim Grimsley",kgrimsley@stetson.edu
"Rick Godinez",rgodinez@stetson.edu
"John Williams",jwilliams@stetson.edu
"Grace Brown",gbrown@stetson.edu
"Ricardo Lowe",rlowe@stetson.edu
"James Smith",jsmith@stetson.edu
"Margaret Nelson",mnelson@stetson.edu
"Harold Craig",hcraig@stetson.edu
"Traci Ritch",tritch@stetson.edu
"Susan Maurice",smaurice@stetson.edu
"Derek Tobias",dtobias@stetson.edu
"Amy Taing",ataing@stetson.edu
"Leonard Fernandez",lfernandez@stetson.edu
"Dale Harrison",dharrison@stetson.edu
"Katherine Meyers",kmeyers@stetson.edu
"Mildred Jackson",mjackson@stetson.edu
"Patricia Marks",pmarks@stetson.edu
"Gloria Cline",gcline@stetson.edu
"Miles Gambill",mgambill@stetson.edu
"James Sparks",jsparks@stetson.edu
"Jeffrey James",jjames@stetson.edu
"Alberta Martinez",amartinez@stetson.edu
"Cole Robinson",crobinson@stetson.edu
"Albert Gonzales",agonzales@stetson.edu
"Samuel Dale",sdale@stetson.edu
"Karl Walker",kwalker@stetson.edu
"Dennis Baker",dbaker@stetson.edu
"Richard Jaynes",rjaynes@stetson.edu
"Bernetta Richardson",brichardson@stetson.edu
"Annie Singh",asingh@stetson.edu
"Lillie Hill",lhill@stetson.edu
"Laura Rice",lrice@stetson.edu
"Jill Dempsey",jdempsey@stetson.edu
"Larry Haris",lharis@stetson.edu
"Michael Richmond",mrichmond@stetson.edu
"Candace Raabe",craabe@stetson.edu
"David Eisenbarth",deisenbarth@stetson.edu
"Kyle Cardiel",kcardiel@stetson.edu
"Jessie Whitworth",jwhitworth@stetson.edu
"Yvette Currie",ycurrie@stetson.edu
"Gwendolyn Howard",ghoward@stetson.edu
"Regina Benson",rbenson@stetson.edu
"Perry Cloer",pcloer@stetson.edu
"Brenda Barajas",bbarajas@stetson.edu
"Dionne Woods",dwoods@stetson.edu
"Gregory Layden",glayden@stetson.edu
"Andrew Dickison",adickison@stetson.edu
"Walter Smith",wsmith@stetson.edu
"Robert Green",rgreen@stetson.edu
"Rebecca Humphries",rhumphries@stetson.edu
"Donna Staley",dstaley@stetson.edu
"Chester Malloy",cmalloy@stetson.edu
"Shannon Vandegrift",svandegrift@stetson.edu
"Rodney Ford",rford@stetson.edu
"Ernest Ingraham",eingraham@stetson.edu
"Ramon Thompson",rthompson@stetson.edu
"Anthony Adams",aadams@stetson.edu
"Tammy Rogers",trogers@stetson.edu
"Christopher Kellison",ckellison@stetson.edu
"Richard Estrada",restrada@stetson.edu
"Philip Hazlett",phazlett@stetson.edu
"Delores Cain",dcain@stetson.edu
"Dana Russo",drusso@stetson.edu
"Carolyn Orr",corr@stetson.edu
"Mary Quisenberry",mquisenberry@stetson.edu
"Ryan Abril",rabril@stetson.edu
"Wilbur Figueroa",wfigueroa@stetson.edu
"Paul Shell",pshell@stetson.edu
"Marco Rothman",mrothman@stetson.edu
"Sean Leslie",sleslie@stetson.edu
"Sharon Carrico",scarrico@stetson.edu
"Pauline Smith",psmith@stetson.edu
"Marina Hope",mhope@stetson.edu
"James Snider",jsnider@stetson.edu
"Rudy Farnham",rfarnham@stetson.edu
"Jerry Eldredge",jeldredge@stetson.edu
"Ruth Ness",rness@stetson.edu
"Angel Park",apark@stetson.edu
